emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
👩‍🏫,woman teacher,People & Body,,woman_teacher,U+1F469 U+200D U+1F3EB,inferred_coherent
🧑‍⚖️,judge,People & Body,,judge,U+1F9D1 U+200D U+2696 U+FE0F,inferred_coherent
👨‍⚖️,man judge,People & Body,,man_judge,U+1F468 U+200D U+2696 U+FE0F,inferred_coherent
👩‍⚖️,woman judge,People & Body,,woman_judge,U+1F469 U+200D U+2696 U+FE0F,inferred_coherent
🧑‍🌾,farmer,People & Body,,farmer,U+1F9D1 U+200D U+1F33E,inferred_coherent
👨‍🌾,man farmer,People & Body,,man_farmer,U+1F468 U+200D U+1F33E,inferred_coherent
👩‍🌾,woman farmer,People & Body,,woman_farmer,U+1F469 U+200D U+1F33E,inferred_coherent
🧑‍🍳,cook,People & Body,,cook,U+1F9D1 U+200D U+1F373,inferred_coherent
👨‍🍳,man cook,People & Body,,man_cook,U+1F468 U+200D U+1F373,inferred_coherent
👩‍🍳,woman cook,People & Body,,woman_cook,U+1F469 U+200D U+1F373,inferred_coherent
🧑‍🔧,mechanic,People & Body,,mechanic,U+1F9D1 U+200D U+1F527,inferred_coherent
